Tên xe,Tên hãng xe,Năm sản xuất,Nơi bán,Giá,Link sản phẩm
Honda City 1.5 MT - 2014,Honda,2014,275,Bắc Giang,https://bonbanh.com/xe-honda-city-1.5-mt-2014-5565741
Mercedes Benz E class E300 - 2009,Mercedes,2009,380,Hà Nội,https://bonbanh.com/xe-mercedes_benz-e_class-e300-2009-5495149
Porsche Cayenne 3.6 V6 - 2013,Porsche,2013,1310,TP HCM,https://bonbanh.com/xe-porsche-cayenne-3.6-v6-2013-5594279
Chevrolet Trailblazer LTZ 2.5L VGT 4x4 AT - 2018,Chevrolet,2018,645,TP HCM,https://bonbanh.com/xe-chevrolet-trailblazer-ltz-2.5l-vgt-4x4-at-2018-5532083
Kia Carens S SX 2.0 MT - 2014,Kia,2014,255,Đồng Nai,https://bonbanh.com/xe-kia-carens-s-sx-2.0-mt-2014-5494011
Toyota Vios E CVT - 2022,Toyota,2022,455,Hải Phòng,https://bonbanh.com/xe-toyota-vios-e-cvt-2022-5540362
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2024,Hyundai,2024,1137,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2024-4010765
Kia Sorento 2.4 GAT Deluxe - 2019,Kia,2019,599,Hà Nội,https://bonbanh.com/xe-kia-sorento-2.4-gat-deluxe-2019-5540878
VinFast Lux SA 2.0 2.0 AT - 2019,VinFast,2019,658,Hà Nội,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2019-5547287
Mercedes Benz GLC 300 4Matic - 2021,Mercedes,2021,1799,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-5546009
Kia Morning Si AT - 2015,Kia,2015,270,TP HCM,https://bonbanh.com/xe-kia-morning-si-at-2015-5543243
Toyota Vios 1.5G - 2019,Toyota,2019,438,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5g-2019-5563483
Mercedes Benz C class C200 Avantgarde - 2021,Mercedes,2021,1400,Nghệ An,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2021-5446275
Suzuki Swift GLX 1.2 AT - 2019,Suzuki,2019,435,Hà Nội,https://bonbanh.com/xe-suzuki-swift-glx-1.2-at-2019-5578607
Mercedes Benz GLC 300 4Matic - 2018,Mercedes,2018,1195,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-5542252
Toyota Camry 2.4G - 2003,Toyota,2003,220,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.4g-2003-5363373
Mitsubishi Outlander Sport 2.0 CVT Premium - 2015,Mitsubishi,2015,475,Hà Nội,https://bonbanh.com/xe-mitsubishi-outlander_sport-2.0-cvt-premium-2015-5541353
Lexus LX 570 Super Sport - 2016,Lexus,2016,4700,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-super-sport-2016-5580272
Mazda CX5 2.0 Premium - 2020,Mazda,2020,785,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.0-premium-2020-5592335
Mercedes Benz GLB 35 4Matic - 2023,Mercedes,2023,2228,TP HCM,https://bonbanh.com/xe-mercedes_benz-glb-35-4matic-2023-5502357
Toyota Camry 2.5Q - 2013,Toyota,2013,485,Thái Nguyên,https://bonbanh.com/xe-toyota-camry-2.5q-2013-5514196
Mitsubishi Xpander Cross 1.5 AT - 2022,Mitsubishi,2022,645,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2022-5561084
Mazda 3 1.5 AT - 2016,Mazda,2016,379,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5-at-2016-5441283
Lexus LX 570 - 2008,Lexus,2008,1499,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-2008-5517865
Honda BR V L - 2023,Honda,2023,670,Hà Nội,https://bonbanh.com/xe-honda-br_v-l-2023-5144852
Mercedes Benz C class C300 AMG - 2019,Mercedes,2019,1160,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-5542477
LandRover Range Rover Autobiography LWB 5.0 - 2015,LandRover,2015,3650,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-2015-5594461
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2021,Hyundai,2021,1090,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2021-5543423
Kia Sedona Platinum D - 2018,Kia,2018,825,TP HCM,https://bonbanh.com/xe-kia-sedona-platinum-d-2018-5558976
Hyundai i10 Grand 1.0 AT - 2015,Hyundai,2015,260,Thanh Hóa,https://bonbanh.com/xe-hyundai-i10-grand-1.0-at-2015-5585410
Toyota Innova G - 2007,Toyota,2007,200,Đồng Nai,https://bonbanh.com/xe-toyota-innova-g-2007-5567332
Volkswagen Passat 1.8 Bluemotion - 2017,Volkswagen,2017,762,Bình Định,https://bonbanh.com/xe-volkswagen-passat-1.8-bluemotion-2017-5443728
Ford Ranger XLS 2.0L 4x4 AT - 2022,Ford,2022,698,Tây Ninh,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x4-at-2022-5592465
Volkswagen Touareg Elegance 2.0 TSI - 2022,Volkswagen,2022,2649,TP HCM,https://bonbanh.com/xe-volkswagen-touareg-elegance-2.0-tsi-2022-5506477
Mazda CX5 2.0 Deluxe - 2020,Mazda,2020,685,Hải Phòng,https://bonbanh.com/xe-mazda-cx5-2.0-deluxe-2020-5527624
LandRover Range Rover HSE 3.0 - 2014,LandRover,2014,2520,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2014-5594465
Ford Everest Titanium 2.0L 4x4 AT - 2019,Ford,2019,955,TP HCM,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2019-5562995
Ford Ranger XLS 2.0L 4x4 AT - 2022,Ford,2022,698,TP HCM,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x4-at-2022-5592389
Ford Everest 2.5L 4x2 MT - 2007,Ford,2007,210,Đà Nẵng,https://bonbanh.com/xe-ford-everest-2.5l-4x2-mt-2007-5585490
Ford Everest Titanium 2.0L 4x2 AT - 2022,Ford,2022,1062,TP HCM,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2022-5585883
Toyota Camry 2.5Q - 2020,Toyota,2020,960,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.5q-2020-5559492
Ford EcoSport Titanium 1.5L AT - 2014,Ford,2014,345,TP HCM,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2014-5572360
Mercedes Benz C class C180 AMG - 2021,Mercedes,2021,1018,TP HCM,https://bonbanh.com/xe-mercedes_benz-c_class-c180-amg-2021-5591462
Hyundai SantaFe Tiêu chuẩn 2.5L - 2024,Hyundai,2024,1055,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-tieu-chuan-2.5l-2024-5545180
Toyota Fortuner 2.4G 4x2 MT - 2020,Toyota,2020,825,TP HCM,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2020-5594462
Honda City RS 1.5 AT - 2023,Honda,2023,569,Hà Nội,https://bonbanh.com/xe-honda-city-rs-1.5-at-2023-5546327
Mazda CX8 Premium - 2019,Mazda,2019,848,Hà Nội,https://bonbanh.com/xe-mazda-cx8-premium-2019-5562426
Mercedes Benz CLA class CLA 250 4Matic - 2014,Mercedes,2014,599,TP HCM,https://bonbanh.com/xe-mercedes_benz-cla_class-cla-250-4matic-2014-5533217
Toyota Vios G 1.5 CVT - 2022,Toyota,2022,515,Hải Dương,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-5568323
Suzuki Swift GLX 1.2 AT - 2019,Suzuki,2019,435,Hà Nội,https://bonbanh.com/xe-suzuki-swift-glx-1.2-at-2019-5578607
Mercedes Benz GLC 300 4Matic - 2018,Mercedes,2018,1195,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-5542252
Toyota Camry 2.4G - 2003,Toyota,2003,220,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.4g-2003-5363373
Mitsubishi Outlander Sport 2.0 CVT Premium - 2015,Mitsubishi,2015,475,Hà Nội,https://bonbanh.com/xe-mitsubishi-outlander_sport-2.0-cvt-premium-2015-5541353
Mazda BT50 3.2L 4x4 AT - 2015,Mazda,2015,369,Ninh Bình,https://bonbanh.com/xe-mazda-bt50-3.2l-4x4-at-2015-5576637
Toyota Veloz Cross 1.5 CVT - 2022,Toyota,2022,580,Vĩnh Phúc,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2022-5568557
Mazda CX5 Premium 2.0 AT - 2021,Mazda,2021,775,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2021-5515130
Toyota Vios G 1.5 CVT - 2022,Toyota,2022,518,Cần Thơ,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-5454218
Toyota Innova E 2.0 MT - 2021,Toyota,2021,590,Bình Dương,https://bonbanh.com/xe-toyota-innova-e-2.0-mt-2021-5550997
Mazda 3 1.5 AT - 2017,Mazda,2017,435,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5-at-2017-5076982
Thaco Town - 2020,Thaco,2020,115,Đồng Nai,https://bonbanh.com/xe-thaco-town--2020-5527546
Ford Transit Tiêu chuẩn - 2023,Ford,2023,729,Lâm Đồng,https://bonbanh.com/xe-ford-transit-tieu-chuan-2023-5516554
Kia Morning SLX 1.0 AT - 2007,Kia,2007,160,TP HCM,https://bonbanh.com/xe-kia-morning-slx-1.0-at-2007-5536293
Hyundai Accent 1.4 ATH - 2019,Hyundai,2019,430,Hà Nội,https://bonbanh.com/xe-hyundai-accent-1.4-ath-2019-5578325
Mazda CX5 2.5 AT 2WD - 2017,Mazda,2017,565,Bắc Ninh,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2017-5563515
Lexus RX 300 - 2020,Lexus,2020,2680,Hà Nội,https://bonbanh.com/xe-lexus-rx-300-2020-5560323
Toyota Corolla altis 1.8G - 2022,Toyota,2022,654,TP HCM,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-2022-5557031
Mazda CX5 Premium 2.0 AT - 2022,Mazda,2022,815,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2022-5555804
Daewoo Lacetti EX - 2011,Daewoo,2011,168,Kon Tum,https://bonbanh.com/xe-daewoo-lacetti-ex-2011-5330548
Mercedes Benz S class S450 Luxury - 2022,Mercedes,2022,5250,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450-luxury-2022-5271418
Nissan Navara EL 2.3 AT 2WD - 2023,Nissan,2023,640,Hà Nội,https://bonbanh.com/xe-nissan-navara-el-2.3-at-2wd-2023-5228154
Mercedes Benz C class C200 Avantgarde - 2022,Mercedes,2022,1499,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2022-5501598
Mazda CX5 Deluxe 2.0 AT - 2021,Mazda,2021,720,Thái Bình,https://bonbanh.com/xe-mazda-cx5-deluxe-2.0-at-2021-5554642
Volvo XC90 T6 Inscription - 2016,Volvo,2016,1750,Hà Nội,https://bonbanh.com/xe-volvo-xc90-t6-inscription-2016-5559730
Toyota Camry 2.0Q - 2021,Toyota,2021,1050,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.0q-2021-5594471
VinFast Lux SA 2.0 Premium 2.0 AT - 2020,VinFast,2020,795,Hà Nội,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2020-5546875
Kia Sonet Premium 1.5 AT - 2024,Kia,2024,615,Hà Nội,https://bonbanh.com/xe-kia-sonet-premium-1.5-at-2024-5591031
Mitsubishi Outlander 2.0 CVT - 2019,Mitsubishi,2019,610,Hà Nội,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2019-5570393
Honda CRV L - 2019,Honda,2019,805,Hà Nội,https://bonbanh.com/xe-honda-crv-l-2019-5564736
VinFast Fadil 1.4 AT Premium - 2019,VinFast,2019,315,Hà Nội,https://bonbanh.com/xe-vinfast-fadil-1.4-at-premium-2019-5590648
Kia Sorento 2.4 GAT Premium - 2020,Kia,2020,695,TP HCM,https://bonbanh.com/xe-kia-sorento-2.4-gat-premium-2020-5562564
Mercedes Benz S class S450L - 2017,Mercedes,2017,2050,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2017-5594487
Kia Sportage Signature 2.0D - 2023,Kia,2023,955,Hà Nội,https://bonbanh.com/xe-kia-sportage-signature-2.0d-2023-5549224
Kia Seltos GT-Line 1.4 AT - 2024,Kia,2024,709,Hà Nội,https://bonbanh.com/xe-kia-seltos-gt-line-1.4-at-2024-5499741
Kia Optima 2.0 ATH - 2017,Kia,2017,529,Hà Nội,https://bonbanh.com/xe-kia-optima-2.0-ath-2017-5560928
Toyota Innova 2.0G - 2018,Toyota,2018,570,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0g-2018-5529964
Kia Sonet Luxury 1.5 AT - 2023,Kia,2023,570,Hà Nội,https://bonbanh.com/xe-kia-sonet-luxury-1.5-at-2023-5564791
Toyota Camry 2.0G - 2021,Toyota,2021,870,Bắc Ninh,https://bonbanh.com/xe-toyota-camry-2.0g-2021-5594470
Mazda CX9 3.7 AT AWD - 2014,Mazda,2014,465,Hà Nội,https://bonbanh.com/xe-mazda-cx9-3.7-at-awd-2014-5541799
Mazda BT50 3.2L 4x4 AT - 2015,Mazda,2015,369,Ninh Bình,https://bonbanh.com/xe-mazda-bt50-3.2l-4x4-at-2015-5576637
Toyota Veloz Cross 1.5 CVT - 2022,Toyota,2022,580,Vĩnh Phúc,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2022-5568557
Mazda CX5 Premium 2.0 AT - 2021,Mazda,2021,775,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2021-5515130
Toyota Vios G 1.5 CVT - 2022,Toyota,2022,518,Cần Thơ,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-5454218
Toyota Innova E 2.0 MT - 2021,Toyota,2021,590,Bình Dương,https://bonbanh.com/xe-toyota-innova-e-2.0-mt-2021-5550997
Honda CRV L - 2019,Honda,2019,805,Hà Nội,https://bonbanh.com/xe-honda-crv-l-2019-5564736
VinFast Fadil 1.4 AT Premium - 2019,VinFast,2019,315,Hà Nội,https://bonbanh.com/xe-vinfast-fadil-1.4-at-premium-2019-5590648
Kia Sorento 2.4 GAT Premium - 2020,Kia,2020,695,TP HCM,https://bonbanh.com/xe-kia-sorento-2.4-gat-premium-2020-5562564
Mercedes Benz S class S450L - 2017,Mercedes,2017,2050,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2017-5594487
Kia Sportage Signature 2.0D - 2023,Kia,2023,955,Hà Nội,https://bonbanh.com/xe-kia-sportage-signature-2.0d-2023-5549224
Kia Seltos GT-Line 1.4 AT - 2024,Kia,2024,709,Hà Nội,https://bonbanh.com/xe-kia-seltos-gt-line-1.4-at-2024-5499741
Kia Optima 2.0 ATH - 2017,Kia,2017,529,Hà Nội,https://bonbanh.com/xe-kia-optima-2.0-ath-2017-5560928
Toyota Innova 2.0G - 2018,Toyota,2018,570,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0g-2018-5529964
Kia Sonet Luxury 1.5 AT - 2023,Kia,2023,570,Hà Nội,https://bonbanh.com/xe-kia-sonet-luxury-1.5-at-2023-5564791
Toyota Camry 2.0G - 2021,Toyota,2021,870,Bắc Ninh,https://bonbanh.com/xe-toyota-camry-2.0g-2021-5594470
Mazda CX9 3.7 AT AWD - 2014,Mazda,2014,465,Hà Nội,https://bonbanh.com/xe-mazda-cx9-3.7-at-awd-2014-5541799
Mazda BT50 3.2L 4x4 AT - 2015,Mazda,2015,369,Ninh Bình,https://bonbanh.com/xe-mazda-bt50-3.2l-4x4-at-2015-5576637
Toyota Veloz Cross 1.5 CVT - 2022,Toyota,2022,580,Vĩnh Phúc,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2022-5568557
Mazda CX5 Premium 2.0 AT - 2021,Mazda,2021,775,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2021-5515130
Toyota Vios G 1.5 CVT - 2022,Toyota,2022,518,Cần Thơ,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-5454218
Toyota Innova E 2.0 MT - 2021,Toyota,2021,590,Bình Dương,https://bonbanh.com/xe-toyota-innova-e-2.0-mt-2021-5550997
Mazda 3 1.5 AT - 2017,Mazda,2017,435,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5-at-2017-5076982
Thaco Town - 2020,Thaco,2020,115,Đồng Nai,https://bonbanh.com/xe-thaco-town--2020-5527546
Ford Transit Tiêu chuẩn - 2023,Ford,2023,729,Lâm Đồng,https://bonbanh.com/xe-ford-transit-tieu-chuan-2023-5516554
Kia Morning SLX 1.0 AT - 2007,Kia,2007,160,TP HCM,https://bonbanh.com/xe-kia-morning-slx-1.0-at-2007-5536293
Toyota Camry 2.4G - 2004,Toyota,2004,188,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.4g-2004-5530918
Mercedes Benz C class C250 - 2012,Mercedes,2012,319,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c250-2012-5410884
Hyundai SantaFe Premium 2.4L HTRAC - 2020,Hyundai,2020,895,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-premium-2.4l-htrac-2020-5568452
Mazda CX5 Luxury 2.0 AT - 2022,Mazda,2022,779,Hà Nội,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2022-5583250
Toyota Highlander Limited Hybrid 2.5 AWD - 2020,Toyota,2020,3390,Hà Nội,https://bonbanh.com/xe-toyota-highlander-limited-hybrid-2.5-awd-2020-5570049
Lexus LX 600 Vip - 2023,Lexus,2023,10300,TP HCM,https://bonbanh.com/xe-lexus-lx-600-vip-2023-5031974
Hyundai Elantra 2.0 AT - 2021,Hyundai,2021,539,Hà Nội,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2021-5567407
Kia Cerato 1.6 AT - 2011,Kia,2011,268,Hải Dương,https://bonbanh.com/xe-kia-cerato-1.6-at-2011-5359172
Kia Sedona 2.2L DAT - 2017,Kia,2017,690,TP HCM,https://bonbanh.com/xe-kia-sedona-2.2l-dat-2017-5583284
Skoda Karoq Style 1.4 AT - 2023,Skoda,2023,1069,Nghệ An,https://bonbanh.com/xe-skoda-karoq-style-1.4-at-2023-5246144
Kia Rio 1.6 AT - 2008,Kia,2008,185,Bình Phước,https://bonbanh.com/xe-kia-rio-1.6-at-2008-5552906
Toyota Corolla altis 1.8E AT - 2021,Toyota,2021,600,Lâm Đồng,https://bonbanh.com/xe-toyota-corolla_altis-1.8e-at-2021-5506079
Ford Ranger Raptor 2.0L 4x4 AT - 2020,Ford,2020,930,Bình Dương,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2020-5480800
Hyundai Tucson 2.0 ATH - 2019,Hyundai,2019,690,Hải Phòng,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2019-5520737
Chevrolet Captiva Revv LTZ 2.4 AT - 2017,Chevrolet,2017,435,TP HCM,https://bonbanh.com/xe-chevrolet-captiva-revv-ltz-2.4-at-2017-5464513
Peugeot 2008 GT Line 1.2 AT - 2022,Peugeot,2022,710,Hà Nội,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2022-5592136
Toyota Corolla Cross 1.8V - 2022,Toyota,2022,780,Hà Nội,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-5583266
Honda Odyssey 2.4 AT - 2016,Honda,2016,885,Bình Dương,https://bonbanh.com/xe-honda-odyssey-2.4-at-2016-5570477
Mitsubishi Pajero Sport D 4x2 MT - 2017,Mitsubishi,2017,465,Hà Nội,https://bonbanh.com/xe-mitsubishi-pajero-sport-d-4x2-mt-2017-5565872
Nissan Murano SL 3.5 AWD - 2012,Nissan,2012,615,Hà Nội,https://bonbanh.com/xe-nissan-murano-sl-3.5-awd-2012-5456321
Toyota Camry 2.5Q - 2020,Toyota,2020,965,Hà Nam,https://bonbanh.com/xe-toyota-camry-2.5q-2020-5564294
Lexus GX 460 - 2019,Lexus,2019,4450,Hà Nội,https://bonbanh.com/xe-lexus-gx-460-2019-5557130
Audi A4 1.8 TFSI - 2015,Audi,2015,560,Hà Nội,https://bonbanh.com/xe-audi-a4-1.8-tfsi-2015-5553403
VinFast Lux SA 2.0 Plus 2.0 AT - 2019,VinFast,2019,696,Hà Nội,https://bonbanh.com/xe-vinfast-lux_sa_2.0-plus-2.0-at-2019-5586763
Hyundai Accent 1.4 MT - 2019,Hyundai,2019,355,Tuyên Quang,https://bonbanh.com/xe-hyundai-accent-1.4-mt-2019-5579855
Ford Tourneo Limousine 2.0 AT - 2019,Ford,2019,799,TP HCM,https://bonbanh.com/xe-ford-tourneo-limousine-2.0-at-2019-5530594
Toyota Fortuner 2.5G - 2016,Toyota,2016,585,TP HCM,https://bonbanh.com/xe-toyota-fortuner-2.5g-2016-5563913
Mazda CX5 Premium Sport 2.0 AT - 2024,Mazda,2024,859,Bắc Ninh,https://bonbanh.com/xe-mazda-cx5-premium-sport-2.0-at-2024-5505820
Hyundai SantaFe 2.4L 4WD - 2018,Hyundai,2018,750,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-2.4l-4wd-2018-5544488
Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG - 2022,Mercedes,2022,4550,Đồng Nai,https://bonbanh.com/xe-mercedes_benz-gle_class-gle-53-4matic+-coupe-amg-2022-5572148
Mitsubishi Xpander Cross 1.5 AT - 2024,Mitsubishi,2024,703,TP HCM,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2024-5528379
Mazda BT50 3.2L 4x4 AT - 2016,Mazda,2016,410,Đăk Lăk,https://bonbanh.com/xe-mazda-bt50-3.2l-4x4-at-2016-5588847
Hyundai Accent 1.4 AT - 2020,Hyundai,2020,418,Bắc Ninh,https://bonbanh.com/xe-hyundai-accent-1.4-at-2020-5592784
Toyota Avanza Premio 1.5 AT - 2022,Toyota,2022,515,TP HCM,https://bonbanh.com/xe-toyota-avanza-premio-1.5-at-2022-5590267
Ford Everest Titanium 2.0L 4x4 AT - 2019,Ford,2019,935,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2019-5585273
Toyota Camry 2.4G - 2004,Toyota,2004,188,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.4g-2004-5530918
Mercedes Benz C class C250 - 2012,Mercedes,2012,319,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c250-2012-5410884
Hyundai SantaFe Premium 2.4L HTRAC - 2020,Hyundai,2020,895,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-premium-2.4l-htrac-2020-5568452
Mazda CX5 Luxury 2.0 AT - 2022,Mazda,2022,779,Hà Nội,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2022-5583250
Toyota Highlander Limited Hybrid 2.5 AWD - 2020,Toyota,2020,3390,Hà Nội,https://bonbanh.com/xe-toyota-highlander-limited-hybrid-2.5-awd-2020-5570049
Ford EcoSport Titanium 1.5L AT - 2017,Ford,2017,383,Hà Nội,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2017-5558080
Kia Cerato 1.6 AT - 2018,Kia,2018,455,Bắc Giang,https://bonbanh.com/xe-kia-cerato-1.6-at-2018-5548543
Mazda CX8 Premium AWD - 2022,Mazda,2022,1019,TP HCM,https://bonbanh.com/xe-mazda-cx8-premium-awd-2022-5434914
Kia Cerato 1.6 AT Luxury - 2019,Kia,2019,440,Hà Nội,https://bonbanh.com/xe-kia-cerato-1.6-at-luxury-2019-5315144
Kia Cerato 2.0 AT Premium - 2021,Kia,2021,550,Hà Nội,https://bonbanh.com/xe-kia-cerato-2.0-at-premium-2021-5594493
Hyundai Creta Đặc biệt 1.5 AT - 2022,Hyundai,2022,630,Hà Nội,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2022-5580710
Honda CRV 2.4 AT - 2014,Honda,2014,495,Hà Nội,https://bonbanh.com/xe-honda-crv-2.4-at-2014-5550768
Toyota Innova 2.0E - 2016,Toyota,2016,340,Đăk Lăk,https://bonbanh.com/xe-toyota-innova-2.0e-2016-5419753
Mercedes Benz GLC 300 4Matic - 2023,Mercedes,2023,2739,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-5549379
Toyota Camry 2.5Q - 2020,Toyota,2020,965,Hà Nam,https://bonbanh.com/xe-toyota-camry-2.5q-2020-5564294
Lexus GX 460 - 2019,Lexus,2019,4450,Hà Nội,https://bonbanh.com/xe-lexus-gx-460-2019-5557130
Audi A4 1.8 TFSI - 2015,Audi,2015,560,Hà Nội,https://bonbanh.com/xe-audi-a4-1.8-tfsi-2015-5553403
VinFast Lux SA 2.0 Plus 2.0 AT - 2019,VinFast,2019,696,Hà Nội,https://bonbanh.com/xe-vinfast-lux_sa_2.0-plus-2.0-at-2019-5586763
Hyundai Accent 1.4 MT - 2019,Hyundai,2019,355,Tuyên Quang,https://bonbanh.com/xe-hyundai-accent-1.4-mt-2019-5579855
Ford Tourneo Limousine 2.0 AT - 2019,Ford,2019,799,TP HCM,https://bonbanh.com/xe-ford-tourneo-limousine-2.0-at-2019-5530594
Toyota Fortuner 2.5G - 2016,Toyota,2016,585,TP HCM,https://bonbanh.com/xe-toyota-fortuner-2.5g-2016-5563913
Mazda CX5 Premium Sport 2.0 AT - 2024,Mazda,2024,859,Bắc Ninh,https://bonbanh.com/xe-mazda-cx5-premium-sport-2.0-at-2024-5505820
Hyundai SantaFe 2.4L 4WD - 2018,Hyundai,2018,750,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-2.4l-4wd-2018-5544488
Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG - 2022,Mercedes,2022,4550,Đồng Nai,https://bonbanh.com/xe-mercedes_benz-gle_class-gle-53-4matic+-coupe-amg-2022-5572148
Mitsubishi Xpander Cross 1.5 AT - 2024,Mitsubishi,2024,703,TP HCM,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2024-5528379
Toyota Crown Super Saloon 3.0 MT - 1993,Toyota,1993,360,Yên Bái,https://bonbanh.com/xe-toyota-crown-super-saloon-3.0-mt-1993-5417145
Mercedes Benz E class E200 Edition - 2015,Mercedes,2015,655,TP HCM,https://bonbanh.com/xe-mercedes_benz-e_class-e200-edition-2015-5581648
Honda CRV L - 2023,Honda,2023,1089,TP HCM,https://bonbanh.com/xe-honda-crv-l-2023-5505211
Kia Sonet Premium 1.5 AT - 2023,Kia,2023,582,Hà Nội,https://bonbanh.com/xe-kia-sonet-premium-1.5-at-2023-5545177
Toyota Fortuner 2.4L 4x2 AT - 2024,Toyota,2024,1034,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.4l-4x2-at-2024-4815126
Toyota Vios G 1.5 CVT - 2024,Toyota,2024,520,Hà Nội,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2024-4276980
Toyota Corolla Cross 1.8V - 2024,Toyota,2024,820,Hà Nội,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2024-5549289
Kia Cerato 2.0 AT - 2018,Kia,2018,438,Hà Nội,https://bonbanh.com/xe-kia-cerato-2.0-at-2018-5527535
Toyota Raize G 1.0 CVT - 2024,Toyota,2024,490,Hà Nội,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2024-4120134
Toyota Fortuner Legender 2.4L 4x2 AT - 2024,Toyota,2024,1165,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-legender-2.4l-4x2-at-2024-4839081
